"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"30509",22,"1981",2,3,2,2,2,68
"30682",32,"1981",1,1,2,2,2,65
"30779",6,"1981",1,3,2,2,2,64
"30787",6,"1981",1,1,2,2,2,64
"30796",6,"1981",1,1,2,2,2,64
"30825",6,"1981",1,2,2,2,2,65
"30832",6,"1981",2,3,2,2,2,64
"30902",6,"1981",1,1,2,2,2,63
"30922",12,"1981",5,1,2,2,2,65
"30923",12,"1981",5,1,2,2,2,68
"30924",12,"1981",5,1,2,2,2,68
"30947",12,"1981",2,1,2,2,2,64
"31064",12,"1981",1,1,2,2,2,65
"31131",12,"1981",1,2,2,2,2,65
"31138",12,"1981",1,1,2,2,2,64
"31240",9,"1981",2,3,2,2,2,68
"31308",16,"1981",1,5,2,2,2,68
"31424",6,"1981",2,1,2,2,2,68
"31564",14,"1981",5,1,2,2,2,65
"31786",2,"1981",1,1,2,2,2,65
"31936",3,"1981",1,98,2,2,2,64
"32001",39,"1981",1,1,2,2,2,67
"32002",39,"1981",1,1,2,2,2,65
"32003",39,"1981",1,1,2,2,2,68
"32177",39,"1981",4,5,2,2,2,67
"32178",39,"1981",4,5,2,2,2,67
"32357",11,"1981",2,2,2,2,2,65
"32506",17,"1981",2,1,2,2,2,68
"32507",17,"1981",1,1,2,2,2,62
"32526",17,"1981",2,2,2,2,2,65
"32646",24,"1981",4,3,2,2,2,68
"32750",24,"1981",1,1,2,2,2,64
"32780",24,"1981",2,1,2,2,2,68
"32842",24,"1981",1,98,2,2,2,68
"32860",35,"1981",1,1,2,2,2,68
"32870",24,"1981",1,98,2,2,2,65
"32871",24,"1981",1,98,2,2,2,68
"33164",37,"1981",1,5,2,2,2,68
"33179",37,"1981",1,3,2,2,2,67
"33253",34,"1981",2,1,2,2,2,64
"33254",34,"1981",2,1,2,2,2,64
"33425",1,"1981",3,98,2,2,2,68
"33728",21,"1981",1,1,2,2,2,67
"33735",21,"1981",1,98,2,2,2,65
"33736",21,"1981",1,1,2,2,2,65
"33739",21,"1981",1,3,2,2,2,64
"33744",21,"1981",1,2,2,2,2,64
"34038",21,"1981",1,98,2,2,2,65
"34052",21,"1981",1,2,2,2,2,62
"34053",21,"1981",1,2,2,2,2,64
"34057",21,"1981",1,3,2,2,2,64
"34058",21,"1981",1,3,2,2,2,64
"34060",21,"1981",1,2,2,2,2,64
"34083",21,"1981",1,3,2,2,2,63
"34247",22,"1981",1,4,2,2,2,68
"34511",6,"1981",1,2,2,2,2,64
"34528",6,"1981",1,1,2,2,2,64
"34545",6,"1981",2,2,2,2,2,65
"34546",6,"1981",1,1,2,2,2,64
"34553",6,"1981",1,2,2,2,2,65
"34554",6,"1981",1,2,2,2,2,68
"34558",6,"1981",1,2,2,2,2,68
"34632",12,"1981",1,3,2,2,2,68
"34683",12,"1981",1,1,2,2,2,65
"34684",12,"1981",1,1,2,2,2,64
"34697",12,"1981",1,2,2,2,2,65
"34735",12,"1981",1,3,2,2,2,68
"34765",12,"1981",1,3,2,2,2,68
"34772",12,"1981",1,2,2,2,2,68
"34777",12,"1981",1,4,2,2,2,68
"34781",12,"1981",1,1,2,2,2,68
"35044",18,"1981",1,1,2,2,2,68
"35126",10,"1981",2,2,2,2,2,62
"35127",10,"1981",2,2,2,2,2,65
"35246",15,"1981",2,1,2,1,2,63
"35623",38,"1981",2,2,2,2,2,68
"35632",5,"1981",2,2,2,2,2,64
"35658",15,"1981",2,1,2,2,2,65
"35659",15,"1981",2,1,2,2,2,68
"35719",11,"1981",2,2,2,2,2,68
"35720",11,"1981",2,2,2,2,2,67
"35721",11,"1981",2,2,2,2,2,68
"36000",24,"1981",2,1,2,1,2,64
"36001",24,"1981",2,1,2,1,2,64
"36023",24,"1981",1,1,2,2,2,68
"36035",24,"1981",2,1,2,2,2,64
"36573",17,"1981",1,1,2,2,2,65
"36604",17,"1981",1,2,2,2,2,68
"36673",17,"1981",1,1,2,2,2,64
"36720",21,"1981",1,2,2,2,2,64
"36760",26,"1981",1,3,2,2,2,68
"36793",26,"1981",1,3,2,2,2,64
"36795",26,"1981",1,3,2,2,2,68
"36840",26,"1981",1,98,2,2,2,65
"36857",28,"1981",1,1,2,2,2,65
"36861",28,"1981",1,3,2,2,2,65
"37016",26,"1981",2,98,2,2,2,68
"37068",21,"1981",1,2,2,2,2,64
"37083",21,"1981",1,2,2,2,2,64
"37104",21,"1981",1,3,2,2,2,64
"37119",21,"1981",1,5,2,2,2,68
"37120",21,"1981",1,5,2,2,2,60
"37169",21,"1981",1,98,2,2,2,63
"37173",21,"1981",1,4,2,2,2,65
"37213",20,"1981",2,1,2,2,2,64
"37254",22,"1981",1,2,2,2,2,68
"37530",6,"1981",1,3,2,2,2,65
"37580",6,"1981",1,1,2,2,2,68
"37586",6,"1981",1,2,2,2,2,68
"37589",6,"1981",1,2,2,2,2,68
"37680",12,"1981",1,3,2,2,2,68
"37774",9,"1981",2,1,2,2,2,68
"37776",9,"1981",2,1,2,2,2,65
"37972",14,"1981",2,98,2,2,2,68
"37974",14,"1981",2,98,2,2,2,65
"38013",10,"1981",1,2,2,2,2,60
"38166",2,"1981",1,98,2,2,2,68
"38317",3,"1981",1,2,2,2,2,63
"38324",3,"1981",1,3,2,2,2,68
"38328",3,"1981",1,5,2,2,2,68
"38490",39,"1981",1,3,2,2,2,65
"38565",5,"1981",1,2,2,2,2,67
"38703",29,"1981",1,2,2,2,2,68
"38715",17,"1981",1,98,2,2,2,68
"38716",17,"1981",1,98,2,2,2,68
"38840",24,"1981",1,98,2,2,2,67
"38841",24,"1981",1,98,2,2,2,65
"38967",24,"1981",1,98,2,2,2,68
"38987",24,"1981",2,2,2,2,2,64
"39081",31,"1981",1,2,2,2,2,64
"39275",34,"1981",1,4,2,2,2,67
"39276",34,"1981",1,4,2,2,2,63
"39277",34,"1981",1,4,2,2,2,68
"39306",34,"1981",1,3,2,2,2,62
"39307",34,"1981",1,3,2,2,2,67
"39561",17,"1981",2,1,2,2,2,65
"39564",17,"1981",1,5,2,2,2,65
"39741",21,"1982",1,1,2,2,2,63
"39742",21,"1982",1,1,2,2,2,64
"39772",26,"1982",1,1,2,2,2,64
"39877",4,"1982",1,2,2,2,2,63
"39951",21,"1982",1,4,2,2,2,68
"40039",22,"1982",1,98,2,2,2,64
"40179",6,"1982",4,2,2,2,2,64
"40181",6,"1982",2,3,2,2,2,68
"40182",6,"1982",1,1,2,2,2,64
"40256",12,"1982",2,4,2,2,2,68
"40363",32,"1982",1,98,2,2,2,65
"40484",10,"1982",1,1,2,2,2,60
"40504",10,"1982",1,98,2,2,2,64
"40577",15,"1982",4,3,2,2,2,65
"40603",15,"1982",3,1,2,2,2,67
"40644",3,"1982",3,98,2,2,2,64
